idx,batch_idx,sample_idx,step,rmse,nmse
14,1,6,22,0.11662758886814117,0.003046586411073804
14,1,6,23,0.12103792279958725,0.0032816710881888866
14,1,6,24,0.12553948163986206,0.003530526300892234
15,1,7,0,0.024647876620292664,0.0001372682600049302
15,1,7,1,0.023455142974853516,0.0001243242877535522
15,1,7,2,0.030123431235551834,0.00020508684974629432
15,1,7,3,0.03492748737335205,0.0002757386246230453
15,1,7,4,0.038892924785614014,0.0003419250133447349
15,1,7,5,0.04306158423423767,0.000419177784351632
15,1,7,6,0.04653846472501755,0.0004896440077573061
15,1,7,7,0.049964725971221924,0.0005644619232043624
15,1,7,8,0.05302717536687851,0.0006358699756674469
15,1,7,9,0.055855367332696915,0.000705624115653336
15,1,7,10,0.05850313603878021,0.0007742440793663263
15,1,7,11,0.06100650131702423,0.0008420664235018194
15,1,7,12,0.06344857066869736,0.0009109704406000674
15,1,7,13,0.0658397451043129,0.000981044489890337
15,1,7,14,0.06824340671300888,0.0010540580842643976
15,1,7,15,0.07069985568523407,0.001131319673731923
15,1,7,16,0.07325883209705353,0.0012146341614425182
15,1,7,17,0.0759391337633133,0.0013049854896962643
15,1,7,18,0.07873367518186569,0.0014025474665686488
15,1,7,19,0.08162429928779602,0.001507075154222548
15,1,7,20,0.08459627628326416,0.0016183801926672459
15,1,7,21,0.08764161169528961,0.0017364774830639362
15,1,7,22,0.09076664596796036,0.0018619372276589274
15,1,7,23,0.09397868067026138,0.0019954165909439325
15,1,7,24,0.09727650880813599,0.0021372498013079166
16,2,0,0,0.017008056864142418,6.531576218549162e-05
16,2,0,1,0.020344503223896027,9.342821431346238e-05
16,2,0,2,0.026823487132787704,0.00016236612282227725
16,2,0,3,0.032131459563970566,0.00023292237892746925
16,2,0,4,0.03651532530784607,0.00030073741800151765
16,2,0,5,0.04075155034661293,0.0003744649002328515
16,2,0,6,0.04433577135205269,0.00044311361853033304
16,2,0,7,0.04779106751084328,0.0005147357587702572
16,2,0,8,0.05096586421132088,0.0005852502654306591
16,2,0,9,0.05407773330807686,0.0006587652605958283
16,2,0,10,0.05718919262290001,0.0007366577628999949
16,2,0,11,0.06037985906004906,0.0008211327949538827
16,2,0,12,0.06370759755373001,0.0009142436902038753
16,2,0,13,0.06719378381967545,0.001017307979054749
16,2,0,14,0.07088249176740646,0.0011325242230668664
16,2,0,15,0.07479491829872131,0.0012616401072591543
16,2,0,16,0.07894457876682281,0.001406315015628934
16,2,0,17,0.08330941945314407,0.0015670191496610641
16,2,0,18,0.08785223215818405,0.0017434966284781694
16,2,0,19,0.09251758456230164,0.0019344594329595566
16,2,0,20,0.09724001586437225,0.002137737115845084
16,2,0,21,0.10195628553628922,0.002350715221837163
16,2,0,22,0.1066131591796875,0.0025707397144287825
16,2,0,23,0.11119069159030914,0.002796403830870986
16,2,0,24,0.11569783091545105,0.0030276800971478224
17,2,1,0,0.0214021448045969,0.00010359766019973904
17,2,1,1,0.023000027984380722,0.0001196345838252455
17,2,1,2,0.029610613361001015,0.0001982701796805486
17,2,1,3,0.034752778708934784,0.00027309192228130996
